Features,Logistic,Random Forest,XGBoost,AbsImportance
MonthlyIncome,1.4090386795536594,0.06250701007691949,0.017484408,1.4090386795536594
YearsAtCompany,1.2119470410561641,0.03400891228280501,0.029602293,1.2119470410561641
JobLevel,-1.0608704572897019,0.026009294226058875,0.096584976,1.0608704572897019
OverTime,0.9375404509908181,0.06627960702794052,0.08366153,0.9375404509908181
JobRole_Laboratory Technician,0.8202054976857772,0.006392967422211528,0.013117509,0.8202054976857772
MaritalStatus_Single,0.782611053258925,0.02198496315542044,0.037340295,0.782611053258925
BusinessTravel_Travel_Frequently,0.7560871641367489,0.009013416668125574,0.0175953,0.7560871641367489
JobRole_Sales Representative,0.6196794537988012,0.005370180775781497,0.012886489,0.6196794537988012
JobRole_Sales Executive,0.615762403879437,0.009791641392188915,0.055487584,0.615762403879437
Department_Sales,0.5634326727679043,0.009105419748079265,0.024707368,0.5634326727679043
YearsInCurrentRole,-0.5408745475651339,0.02901444000016676,0.02261447,0.5408745475651339
TotalWorkingYears,-0.5364723072867096,0.042419454232087934,0.033480275,0.5364723072867096
BusinessTravel_Travel_Rarely,0.5285967632202031,0.005473094781016685,0.018279705,0.5285967632202031
JobRole_Human Resources,0.5255378570060006,0.0031207027422829265,0.00408587,0.5255378570060006
TenureBucket,-0.5098079491178784,0.014973172879362234,0.0,0.5098079491178784
NumCompaniesWorked,0.4862278919453464,0.03029027482948706,0.023966761,0.4862278919453464
Department_Research & Development,0.47413589248433424,0.010933490337719794,0.029625451,0.47413589248433424
JobRole_Research Scientist,0.47294632567272216,0.0058368672879346275,0.02180734,0.47294632567272216
EducationField_Life Sciences,-0.45163499713969896,0.0068178499931523424,0.024372756,0.45163499713969896
EnvironmentSatisfaction,-0.43074625767084923,0.01941656416086579,0.017798316,0.43074625767084923
JobRole_Research Director,-0.42573169775513825,0.0014952998239855498,0.0,0.42573169775513825
YearsSinceLastPromotion,0.4235311041220194,0.02093098815628372,0.01864652,0.4235311041220194
IncomeVsLevelAvg,-0.4195120165675479,0.04267394301615183,0.018455006,0.4195120165675479
JobSatisfaction,-0.4008661585713124,0.025186274825273948,0.019292988,0.4008661585713124
YearsWithCurrManager,-0.38789732967361756,0.029487422370656147,0.022897847,0.38789732967361756
MaritalStatus_Married,0.37552277715857135,0.007448823081781853,0.017248405,0.37552277715857135
EducationField_Medical,-0.3257756858559341,0.006924601294301492,0.011052415,0.3257756858559341
JobInvolvement,-0.31447575071506295,0.018667116175877862,0.02673113,0.31447575071506295
DistanceFromHome,0.30034508388149056,0.03333123846479951,0.021010162,0.30034508388149056
JobRole_Manufacturing Director,0.2801144943328664,0.002467344167611023,0.0,0.2801144943328664
WorkLifeBalance,-0.2558028177624857,0.01352382025965928,0.019737646,0.2558028177624857
Gender_Male,0.2386152264336735,0.007575506049553332,0.009710481,0.2386152264336735
EducationField_Marketing,-0.20869332122390727,0.004175812874512846,0.024926888,0.20869332122390727
TrainingTimesLastYear,-0.20231675998492396,0.02031023193636582,0.01302696,0.20231675998492396
JobRole_Manager,-0.1748094392091054,0.0020374400745164028,0.0,0.1748094392091054
RelationshipSatisfaction,-0.16165045691280364,0.01697515946423175,0.01536492,0.16165045691280364
PercentSalaryHike,-0.15633474092780325,0.026447068820441247,0.021262696,0.15633474092780325
Age,-0.1542237844393705,0.05307793059598835,0.020618826,0.1542237844393705
EducationField_Technical Degree,0.1475805880364358,0.005694615337222125,0.02167226,0.1475805880364358
MonthlyRate,0.14036743059526224,0.038213329734370936,0.011704686,0.14036743059526224
AvgIncomeAtLevel,0.13888680272200982,0.020855505078040758,0.0,0.13888680272200982
EducationField_Other,-0.10049134952525272,0.0025737977855525914,0.0027901782,0.10049134952525272
DailyRate,-0.10047508819785131,0.04340603092766496,0.017198574,0.10047508819785131
StockOptionLevel,-0.08321453145689664,0.036642440311309164,0.04307147,0.08321453145689664
EmployeeNumber,-0.0732354177397118,0.04197299172293845,0.01592368,0.0732354177397118
Education,0.04362320440128649,0.015962622189712308,0.012213333,0.04362320440128649
PerformanceRating,-0.013634014613529878,0.003243988306166512,0.0,0.013634014613529878
HourlyRate,0.010008060187904344,0.039939333135423014,0.010944273,0.010008060187904344
